Product,Sub_product,Issue,Sub_issue,State,ZIP_code,Date_received,Date_sent_to_company,Company,Company_response,Days_to_response,Issue_len,Sub_issue_words,Company_grouped,Days_to_response_bin
4,Desconocido,Communication tactics,Frequent or repeated calls,51,76119.0,2015-03-19,2015-03-19,1069,4,0,21,4,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt is not mine,51,77479.0,2015-03-19,2015-03-19,50,1,0,37,4,Otras,0-1 días
6,FHA mortgage,"Application, originator, mortgage broker",Desconocido,24,2127.0,2015-03-19,2015-03-19,1118,1,0,40,1,1118,0-1 días
2,Desconocido,Other,Desconocido,7,92592.0,2015-03-19,2015-03-19,967,4,0,5,1,Otras,0-1 días
4,Non-federal student loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,12,43068.0,2015-03-19,2015-03-19,1401,4,0,37,5,1401,0-1 días
4,Payday loan,Communication tactics,Called after sent written cease of comm,41,43068.0,2015-03-19,2015-03-19,15,4,0,21,7,Otras,0-1 días
1,Installment loan,Managing the loan or lease,Desconocido,41,44241.0,2015-03-18,2015-03-18,291,1,0,26,1,Otras,0-1 días
4,Payday loan,Communication tactics,Called after sent written cease of comm,7,95124.0,2015-03-18,2015-03-18,15,1,0,21,7,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,37,7067.0,2015-03-18,2015-03-18,409,3,0,37,3,Otras,0-1 días
4,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,51,77433.0,2015-03-18,2015-03-18,382,1,0,36,6,Otras,0-1 días
4,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,34,58237.0,2015-03-18,2015-03-18,981,1,0,34,5,Otras,0-1 días
0,Other bank product/service,Deposits and withdrawals,Desconocido,47,2893.0,2015-03-18,2015-03-18,1229,4,0,24,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,8,80301.0,2015-03-18,2015-03-18,510,1,0,37,4,Otras,0-1 días
8,Desconocido,Can't contact lender,Desconocido,51,78205.0,2015-03-18,2015-03-18,15,4,0,20,1,Otras,0-1 días
4,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,52,84405.0,2015-03-18,2015-03-18,44,3,0,31,7,Otras,0-1 días
4,Desconocido,Disclosure verification of debt,Not given enough info to verify debt,2,36756.0,2015-03-18,2015-03-19,505,4,1,31,7,Otras,0-1 días
4,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,44,19140.0,2015-03-18,2015-03-18,864,1,0,34,5,Otras,0-1 días
4,Medical,Cont'd attempts collect debt not owed,Debt is not mine,51,77099.0,2015-03-18,2015-03-18,115,1,0,37,4,Otras,0-1 días
4,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,7,92069.0,2015-03-18,2015-03-18,1150,1,0,21,3,Otras,0-1 días
4,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,40,10470.0,2015-03-18,2015-03-18,260,1,0,31,6,Otras,0-1 días
6,FHA mortgage,"Loan modification,collection,foreclosure",Desconocido,33,28110.0,2015-03-18,2015-03-18,579,4,0,40,1,Otras,0-1 días
