feature,importance
Company_response_4,0.03630882
Company_response_1,0.0061380174
Company_response_5,0.0054135257
Company_489,0.00448733
Sub_issue_Frequent or repeated calls,0.004283787
Sub_issue_Account status,0.0037807645
Company_grouped_489,0.0037196523
Issue_Credit reporting company's investigation,0.0035375527
Company_response_0,0.0031874229
Days_to_response_bin_11-30 días,0.0028578436
Sub_issue_Information is not mine,0.0028480876
ZIP_code_85032.0,0.002632678
ZIP_code_60445.0,0.0026007267
Sub_product_Other mortgage,0.0024850683
Sub_issue_Report improperly shared by CRC,0.0024508694
Issue_Communication tactics,0.0023163562
Company_504,0.002160789
ZIP_code_92663.0,0.002110007
Sub_issue_Problem getting my free annual report,0.0021000905
Company_response_2,0.002093585
Issue_Improper use of my credit report,0.0020876878
Issue_Dealing with my lender or servicer,0.0020857228
Company_1064,0.00201671
ZIP_code_40503.0,0.0020124628
Product_2,0.0020069743
Issue_Can't contact lender,0.0019977381
Company_1401,0.001982061
Company_293,0.0019764348
"Issue_Application, originator, mortgage broker",0.0019586275
State_26,0.0019546896
Sub_issue_Contacted employer after asked not to,0.0019517683
Company_695,0.0019021401
ZIP_code_33614.0,0.0018918234
Company_1038,0.0018592222
Company_565,0.001834099
Company_357,0.0018213264
ZIP_code_75231.0,0.0017954283
ZIP_code_21029.0,0.0017830798
Sub_product_Medical,0.0017807189
ZIP_code_75287.0,0.0017797648
State_47,0.0017780314
ZIP_code_91411.0,0.0017656803
ZIP_code_95825.0,0.0017565591
ZIP_code_11372.0,0.0017563644
Sub_issue_Threatened to take legal action,0.0017491297
Company_490,0.0017272676
Issue_Incorrect/missing disclosures or info,0.0017253847
Sub_issue_Personal information,0.0017203195
ZIP_code_Desconocido,0.0017179465
ZIP_code_19106.0,0.0017045364
ZIP_code_21014.0,0.001703986
Issue_Late fee,0.0017006077
Company_279,0.001699903
Issue_Other,0.0016954462
Issue_Billing statement,0.0016886997
Company_1207,0.0016850971
ZIP_code_92708.0,0.0016680892
Sub_product_Non-federal student loan,0.0016637043
Issue_Delinquent account,0.0016583229
Issue_Credit card protection / Debt protection,0.0016564162
Company_644,0.001653553
Company_1153,0.001648932
ZIP_code_33617.0,0.0016425527
Product_10,0.0016372476
Company_488,0.0016367561
Issue_Identity theft / Fraud / Embezzlement,0.0016289494
Sub_issue_Investigation took too long,0.0016247091
ZIP_code_67216.0,0.00162179
Issue_Unsolicited issuance of credit card,0.0016183922
State_24,0.0016133423
Company_971,0.0016109016
Sub_issue_Account terms,0.0016080558
ZIP_code_16701.0,0.0016070385
ZIP_code_14051.0,0.0016020981
Company_1263,0.0015919815
Issue_Unable to get credit report/credit score,0.0015908488
Days_to_response_bin_0-1 días,0.0015901667
